,VenueCategory,Count
274,Sri Lankan Restaurant,2
275,Stables,1
276,Stationery Store,4
277,Steakhouse,25
278,Street Art,2
279,Street Food Gathering,13
280,Supermarket,19
281,Sushi Restaurant,23
282,Szechuan Restaurant,3
283,Taco Place,2
284,Tailor Shop,1
285,Taiwanese Restaurant,1
286,Tapas Restaurant,22
287,Tea Room,21
288,Tennis Court,6
289,Thai Restaurant,15
290,Theater,47
291,Theme Park Ride / Attraction,3
292,Theme Restaurant,1
293,Tiki Bar,1
294,Tour Provider,2
295,Tourist Information Center,1
296,Toy / Game Store,3
297,Track Stadium,1
298,Trail,4
299,Train Station,5
300,Tree,1
301,Turkish Restaurant,20
302,Udon Restaurant,2
303,University,1
304,Vegetarian / Vegan Restaurant,9
305,Video Game Store,1
306,Video Store,1
307,Vietnamese Restaurant,23
308,Warehouse Store,3
309,Whisky Bar,2
310,Wine Bar,31
311,Wine Shop,7
312,Wings Joint,2
313,Women's Store,7
314,Yoga Studio,16
315,Zoo,1
316,Zoo Exhibit,17
